Month,State,Source,Unit,Installed_Capacity
2020-05-01,Ladakh,Coal,MW,0
2020-05-01,Punjab,Coal,MW,5680
2020-05-01,Rajasthan,Coal,MW,9820
2020-05-01,Uttar Pradesh,Coal,MW,22409
2020-05-01,Uttarakhand,Coal,MW,0
2020-05-01,Andaman & Nicobar Islands,Coal,MW,0
2020-05-01,Bihar,Coal,MW,6390
2020-05-01,Jharkhand,Coal,MW,4460
2020-05-01,Odisha,Coal,MW,9800
2020-05-01,Sikkim,Coal,MW,0
2020-05-01,West Bengal,Coal,MW,14177
2020-05-01,Chhatisgarh,Coal,MW,23128
2020-05-01,Dadra & Nagar Haveli,Coal,MW,0
2020-05-01,Daman & Diu,Coal,MW,0
2020-05-01,Goa,Coal,MW,0
2020-05-01,Gujarat,Coal,MW,16232
2020-05-01,Madhya Pradesh,Coal,MW,21150
2020-05-01,Maharashtra,Coal,MW,24966
2020-05-01,Andhra Pradesh,Coal,MW,11590
2020-05-01,Karnataka,Coal,MW,9480
2020-05-01,Kerala,Coal,MW,0
2020-05-01,Lakshadweep,Coal,MW,0
2020-05-01,Puducherry,Coal,MW,0
2020-05-01,Tamil Nadu,Coal,MW,13010
2020-05-01,Telangana,Coal,MW,6762.5
2020-05-01,Arunachal Pradesh,Coal,MW,0
2020-05-01,Assam,Coal,MW,750
2020-05-01,Manipur,Coal,MW,0
2020-05-01,Meghalaya,Coal,MW,0
2020-05-01,Mizoram,Coal,MW,0
2020-05-01,Nagaland,Coal,MW,0
2020-05-01,Tripura,Coal,MW,0
2020-06-01,Chandigarh,Coal,MW,0
2020-06-01,Delhi,Coal,MW,0
2020-06-01,Haryana,Coal,MW,5330
2020-06-01,Himachal Pradesh,Coal,MW,0
2020-06-01,Jammu and Kashmir,Coal,MW,0
2020-06-01,Ladakh,Coal,MW,0
2020-06-01,Punjab,Coal,MW,5680
2020-06-01,Rajasthan,Coal,MW,9820
2020-06-01,Uttar Pradesh,Coal,MW,22409
2020-06-01,Uttarakhand,Coal,MW,0
2020-06-01,Andaman & Nicobar Islands,Coal,MW,0
2020-06-01,Bihar,Coal,MW,6390
2020-06-01,Jharkhand,Coal,MW,4460
2020-06-01,Odisha,Coal,MW,9800
2020-06-01,Sikkim,Coal,MW,0
2020-06-01,West Bengal,Coal,MW,14177
2020-06-01,Chhatisgarh,Coal,MW,23128
2020-06-01,Dadra & Nagar Haveli,Coal,MW,0
2020-06-01,Daman & Diu,Coal,MW,0
2020-06-01,Goa,Coal,MW,0
2020-06-01,Gujarat,Coal,MW,16232
2020-06-01,Madhya Pradesh,Coal,MW,21150
2020-06-01,Maharashtra,Coal,MW,24966
2020-06-01,Andhra Pradesh,Coal,MW,11590
2020-06-01,Karnataka,Coal,MW,9480
2020-06-01,Kerala,Coal,MW,0
2020-06-01,Lakshadweep,Coal,MW,0
2020-06-01,Puducherry,Coal,MW,0
2020-06-01,Tamil Nadu,Coal,MW,13010
2020-06-01,Telangana,Coal,MW,7032.5
2020-06-01,Arunachal Pradesh,Coal,MW,0
2020-06-01,Assam,Coal,MW,750
2020-06-01,Manipur,Coal,MW,0
2020-06-01,Meghalaya,Coal,MW,0
2020-06-01,Mizoram,Coal,MW,0
2020-06-01,Nagaland,Coal,MW,0
2020-06-01,Tripura,Coal,MW,0
2020-07-01,Chandigarh,Coal,MW,0
2020-07-01,Delhi,Coal,MW,0
2020-07-01,Haryana,Coal,MW,5330
2020-07-01,Himachal Pradesh,Coal,MW,0
2020-07-01,Jammu and Kashmir,Coal,MW,0
2020-07-01,Ladakh,Coal,MW,0
2020-07-01,Punjab,Coal,MW,5680
2020-07-01,Rajasthan,Coal,MW,9820
2020-07-01,Uttar Pradesh,Coal,MW,22409
2020-07-01,Uttarakhand,Coal,MW,0
2020-07-01,Andaman & Nicobar Islands,Coal,MW,0
2020-07-01,Bihar,Coal,MW,6390
2020-07-01,Jharkhand,Coal,MW,4460
2020-07-01,Odisha,Coal,MW,9800
2020-07-01,Sikkim,Coal,MW,0
2020-07-01,West Bengal,Coal,MW,14177
2020-07-01,Chhatisgarh,Coal,MW,23928
2020-07-01,Dadra & Nagar Haveli,Coal,MW,0
2020-07-01,Daman & Diu,Coal,MW,0
2020-07-01,Goa,Coal,MW,0
2020-07-01,Gujarat,Coal,MW,16232
2020-07-01,Madhya Pradesh,Coal,MW,21150
2020-07-01,Maharashtra,Coal,MW,24966
2020-07-01,Andhra Pradesh,Coal,MW,11590
2020-07-01,Karnataka,Coal,MW,9480
2020-07-01,Kerala,Coal,MW,0
2020-07-01,Lakshadweep,Coal,MW,0
2020-07-01,Puducherry,Coal,MW,0
2020-07-01,Tamil Nadu,Coal,MW,12760
2020-07-01,Telangana,Coal,MW,7032.5
2020-07-01,Arunachal Pradesh,Coal,MW,0
2020-07-01,Assam,Coal,MW,750
2020-07-01,Manipur,Coal,MW,0
2020-07-01,Meghalaya,Coal,MW,0
2020-07-01,Mizoram,Coal,MW,0
2020-07-01,Nagaland,Coal,MW,0
2020-07-01,Tripura,Coal,MW,0
2020-08-01,Chandigarh,Coal,MW,0
2020-08-01,Delhi,Coal,MW,0
2020-08-01,Haryana,Coal,MW,5330
2020-08-01,Himachal Pradesh,Coal,MW,0
2020-08-01,Jammu and Kashmir,Coal,MW,0
2020-08-01,Ladakh,Coal,MW,0
2020-08-01,Punjab,Coal,MW,5680
2020-08-01,Rajasthan,Coal,MW,9820
2020-08-01,Uttar Pradesh,Coal,MW,22409
2020-08-01,Uttarakhand,Coal,MW,0
2020-08-01,Andaman & Nicobar Islands,Coal,MW,0
2020-08-01,Bihar,Coal,MW,6390
2020-08-01,Jharkhand,Coal,MW,4460
2020-08-01,Odisha,Coal,MW,9800
2020-08-01,Sikkim,Coal,MW,0
2020-08-01,West Bengal,Coal,MW,14177
2020-08-01,Chhatisgarh,Coal,MW,23928
2020-08-01,Dadra & Nagar Haveli,Coal,MW,0
2020-08-01,Daman & Diu,Coal,MW,0
2020-08-01,Goa,Coal,MW,0
2020-08-01,Gujarat,Coal,MW,16232
2020-08-01,Madhya Pradesh,Coal,MW,21150
2020-08-01,Maharashtra,Coal,MW,24966
2020-08-01,Andhra Pradesh,Coal,MW,11590
2020-08-01,Karnataka,Coal,MW,9480
2020-08-01,Kerala,Coal,MW,0
2020-08-01,Lakshadweep,Coal,MW,0
2020-08-01,Puducherry,Coal,MW,0
2020-08-01,Tamil Nadu,Coal,MW,12760
2020-08-01,Telangana,Coal,MW,7032.5
2020-08-01,Arunachal Pradesh,Coal,MW,0
2020-08-01,Assam,Coal,MW,750
2020-08-01,Manipur,Coal,MW,0
2020-08-01,Meghalaya,Coal,MW,0
2020-08-01,Mizoram,Coal,MW,0
2020-08-01,Nagaland,Coal,MW,0
2020-08-01,Tripura,Coal,MW,0
2020-09-01,Chandigarh,Coal,MW,0
2020-09-01,Delhi,Coal,MW,0
2020-09-01,Haryana,Coal,MW,5330
2020-09-01,Himachal Pradesh,Coal,MW,0
2020-09-01,Jammu and Kashmir,Coal,MW,0
2020-09-01,Ladakh,Coal,MW,0
2020-09-01,Punjab,Coal,MW,5680
2020-09-01,Rajasthan,Coal,MW,9820
2020-09-01,Uttar Pradesh,Coal,MW,22409
2020-09-01,Uttarakhand,Coal,MW,0
2020-09-01,Andaman & Nicobar Islands,Coal,MW,0
2020-09-01,Bihar,Coal,MW,6390
2020-09-01,Jharkhand,Coal,MW,4460
2020-09-01,Odisha,Coal,MW,9800
2020-09-01,Sikkim,Coal,MW,0
2020-09-01,West Bengal,Coal,MW,14177
2020-09-01,Chhatisgarh,Coal,MW,23928
2020-09-01,Dadra & Nagar Haveli,Coal,MW,0
2020-09-01,Daman & Diu,Coal,MW,0
2020-09-01,Goa,Coal,MW,0
2020-09-01,Gujarat,Coal,MW,16232
2020-09-01,Madhya Pradesh,Coal,MW,21150
2020-09-01,Maharashtra,Coal,MW,24966
2020-09-01,Andhra Pradesh,Coal,MW,11590
2020-09-01,Karnataka,Coal,MW,9480
2020-09-01,Kerala,Coal,MW,0
2020-09-01,Lakshadweep,Coal,MW,0
2020-09-01,Puducherry,Coal,MW,0
2020-09-01,Tamil Nadu,Coal,MW,12660
2020-09-01,Telangana,Coal,MW,7032.5
2020-09-01,Arunachal Pradesh,Coal,MW,0
2020-09-01,Assam,Coal,MW,750
2020-09-01,Manipur,Coal,MW,0
2020-09-01,Meghalaya,Coal,MW,0
2020-09-01,Mizoram,Coal,MW,0
2020-09-01,Nagaland,Coal,MW,0
2020-09-01,Tripura,Coal,MW,0
2020-10-01,Chandigarh,Coal,MW,0
2020-10-01,Delhi,Coal,MW,0
2020-10-01,Haryana,Coal,MW,5330
2020-10-01,Himachal Pradesh,Coal,MW,0
2020-10-01,Jammu and Kashmir,Coal,MW,0
2020-10-01,Ladakh,Coal,MW,0
2020-10-01,Punjab,Coal,MW,5680
2020-10-01,Rajasthan,Coal,MW,9820
2020-10-01,Uttar Pradesh,Coal,MW,22409
2020-10-01,Uttarakhand,Coal,MW,0
2020-10-01,Andaman & Nicobar Islands,Coal,MW,0
2020-10-01,Bihar,Coal,MW,6390
2020-10-01,Jharkhand,Coal,MW,4460
2020-10-01,Odisha,Coal,MW,9800
2020-10-01,Sikkim,Coal,MW,0
2020-10-01,West Bengal,Coal,MW,14177
2020-10-01,Chhatisgarh,Coal,MW,23928
2020-10-01,Dadra & Nagar Haveli,Coal,MW,0
2020-10-01,Daman & Diu,Coal,MW,0
2020-10-01,Goa,Coal,MW,0
2020-10-01,Gujarat,Coal,MW,16232
2020-10-01,Madhya Pradesh,Coal,MW,21150
2020-10-01,Maharashtra,Coal,MW,24966
2020-10-01,Andhra Pradesh,Coal,MW,11590
2020-10-01,Karnataka,Coal,MW,9480
2020-10-01,Kerala,Coal,MW,0
2020-10-01,Lakshadweep,Coal,MW,0
2020-10-01,Puducherry,Coal,MW,0
2020-10-01,Tamil Nadu,Coal,MW,12660
2020-10-01,Telangana,Coal,MW,7032.5
2020-10-01,Arunachal Pradesh,Coal,MW,0
2020-10-01,Assam,Coal,MW,750
2020-10-01,Manipur,Coal,MW,0
2020-10-01,Meghalaya,Coal,MW,0
2020-10-01,Mizoram,Coal,MW,0
2020-10-01,Nagaland,Coal,MW,0
2020-10-01,Tripura,Coal,MW,0
2020-11-01,Chandigarh,Coal,MW,0
2020-11-01,Delhi,Coal,MW,0
2020-11-01,Haryana,Coal,MW,5330
2020-11-01,Himachal Pradesh,Coal,MW,0
2020-11-01,Jammu and Kashmir,Coal,MW,0
2020-11-01,Ladakh,Coal,MW,0
2020-11-01,Punjab,Coal,MW,5680
2020-11-01,Rajasthan,Coal,MW,9820
2020-11-01,Uttar Pradesh,Coal,MW,22409
2020-11-01,Uttarakhand,Coal,MW,0
2020-11-01,Andaman & Nicobar Islands,Coal,MW,0
2020-11-01,Bihar,Coal,MW,6390
2020-11-01,Jharkhand,Coal,MW,4460
2020-11-01,Odisha,Coal,MW,9800
2020-11-01,Sikkim,Coal,MW,0
2020-11-01,West Bengal,Coal,MW,14177
2020-11-01,Chhatisgarh,Coal,MW,23928
2020-11-01,Dadra & Nagar Haveli,Coal,MW,0
2020-11-01,Daman & Diu,Coal,MW,0
2020-11-01,Goa,Coal,MW,0
2020-11-01,Gujarat,Coal,MW,16232
2020-11-01,Madhya Pradesh,Coal,MW,21150
2020-11-01,Maharashtra,Coal,MW,24966
2020-11-01,Andhra Pradesh,Coal,MW,11590
2020-11-01,Karnataka,Coal,MW,9480
2020-11-01,Kerala,Coal,MW,0
2020-11-01,Lakshadweep,Coal,MW,0
2020-11-01,Puducherry,Coal,MW,0
2020-11-01,Tamil Nadu,Coal,MW,12660
2020-11-01,Telangana,Coal,MW,7032.5
2020-11-01,Arunachal Pradesh,Coal,MW,0
2020-11-01,Assam,Coal,MW,750
2020-11-01,Manipur,Coal,MW,0
2020-11-01,Meghalaya,Coal,MW,0
2020-11-01,Mizoram,Coal,MW,0
2020-11-01,Nagaland,Coal,MW,0
2020-11-01,Tripura,Coal,MW,0
2020-12-01,Chandigarh,Coal,MW,0
2020-12-01,Delhi,Coal,MW,0
2020-12-01,Haryana,Coal,MW,5330
2020-12-01,Himachal Pradesh,Coal,MW,0
2020-12-01,Jammu and Kashmir,Coal,MW,0
2020-12-01,Ladakh,Coal,MW,0
2020-12-01,Punjab,Coal,MW,5680
2020-12-01,Rajasthan,Coal,MW,9820
2020-12-01,Uttar Pradesh,Coal,MW,22409
2020-12-01,Uttarakhand,Coal,MW,0
2020-12-01,Andaman & Nicobar Islands,Coal,MW,0
2020-12-01,Bihar,Coal,MW,6390
2020-12-01,Jharkhand,Coal,MW,4460
2020-12-01,Odisha,Coal,MW,9800
2020-12-01,Sikkim,Coal,MW,0
2020-12-01,West Bengal,Coal,MW,14177
2020-12-01,Chhatisgarh,Coal,MW,23928
2020-12-01,Dadra & Nagar Haveli,Coal,MW,0
2020-12-01,Daman & Diu,Coal,MW,0
2020-12-01,Goa,Coal,MW,0
2020-12-01,Gujarat,Coal,MW,16232
2020-12-01,Madhya Pradesh,Coal,MW,21150
2020-12-01,Maharashtra,Coal,MW,24966
2020-12-01,Andhra Pradesh,Coal,MW,11590
2020-12-01,Karnataka,Coal,MW,9480
2020-12-01,Kerala,Coal,MW,0
2020-12-01,Lakshadweep,Coal,MW,0
2020-12-01,Puducherry,Coal,MW,0
2020-12-01,Tamil Nadu,Coal,MW,12660
2020-12-01,Telangana,Coal,MW,7302.5
2020-12-01,Arunachal Pradesh,Coal,MW,0
2020-12-01,Assam,Coal,MW,750
2020-12-01,Manipur,Coal,MW,0
2020-12-01,Meghalaya,Coal,MW,0
2020-12-01,Mizoram,Coal,MW,0
2020-12-01,Nagaland,Coal,MW,0
2020-12-01,Tripura,Coal,MW,0
2021-01-01,Chandigarh,Coal,MW,0
2021-01-01,Delhi,Coal,MW,0
2021-01-01,Haryana,Coal,MW,5330
2021-01-01,Himachal Pradesh,Coal,MW,0
2021-01-01,Jammu and Kashmir,Coal,MW,0
2021-01-01,Ladakh,Coal,MW,0
2021-01-01,Punjab,Coal,MW,5680
2021-01-01,Rajasthan,Coal,MW,9820
2021-01-01,Uttar Pradesh,Coal,MW,23069
2021-01-01,Uttarakhand,Coal,MW,0
2021-01-01,Andaman & Nicobar Islands,Coal,MW,0
2021-01-01,Bihar,Coal,MW,6390
2021-01-01,Jharkhand,Coal,MW,4460
2021-01-01,Odisha,Coal,MW,9800
2021-01-01,Sikkim,Coal,MW,0
2021-01-01,West Bengal,Coal,MW,14177
2021-01-01,Chhatisgarh,Coal,MW,23688
2021-01-01,Dadra & Nagar Haveli,Coal,MW,0
2021-01-01,Daman & Diu,Coal,MW,0
2021-01-01,Goa,Coal,MW,0
2021-01-01,Gujarat,Coal,MW,16092
2021-01-01,Madhya Pradesh,Coal,MW,21150
2021-01-01,Maharashtra,Coal,MW,24966
2021-01-01,Andhra Pradesh,Coal,MW,11590
2021-01-01,Karnataka,Coal,MW,9480
2021-01-01,Kerala,Coal,MW,0
2021-01-01,Lakshadweep,Coal,MW,0
2021-01-01,Puducherry,Coal,MW,0
2021-01-01,Tamil Nadu,Coal,MW,12660
2021-01-01,Telangana,Coal,MW,7302.5
2021-01-01,Arunachal Pradesh,Coal,MW,0
2021-01-01,Assam,Coal,MW,750
2021-01-01,Manipur,Coal,MW,0
2021-01-01,Meghalaya,Coal,MW,0
2021-01-01,Mizoram,Coal,MW,0
2021-01-01,Nagaland,Coal,MW,0
2021-01-01,Tripura,Coal,MW,0
2021-02-01,Chandigarh,Coal,MW,0
2021-02-01,Delhi,Coal,MW,0
2021-02-01,Haryana,Coal,MW,5330
2021-02-01,Himachal Pradesh,Coal,MW,0
2021-02-01,Jammu and Kashmir,Coal,MW,0
2021-02-01,Ladakh,Coal,MW,0
2021-02-01,Punjab,Coal,MW,5680
2021-02-01,Rajasthan,Coal,MW,9820
2021-02-01,Uttar Pradesh,Coal,MW,23069
2021-02-01,Uttarakhand,Coal,MW,0
2021-02-01,Andaman & Nicobar Islands,Coal,MW,0
2021-02-01,Bihar,Coal,MW,6390
2021-02-01,Jharkhand,Coal,MW,4460
2021-02-01,Odisha,Coal,MW,9800
2021-02-01,Sikkim,Coal,MW,0
2021-02-01,West Bengal,Coal,MW,14177
2021-02-01,Chhatisgarh,Coal,MW,23688
2021-02-01,Dadra & Nagar Haveli,Coal,MW,0
2021-02-01,Daman & Diu,Coal,MW,0
2021-02-01,Goa,Coal,MW,0
2021-02-01,Gujarat,Coal,MW,16092
2021-02-01,Madhya Pradesh,Coal,MW,21950
2021-02-01,Maharashtra,Coal,MW,24966
2021-02-01,Andhra Pradesh,Coal,MW,11590
2021-02-01,Karnataka,Coal,MW,9480
2021-02-01,Kerala,Coal,MW,0
2021-02-01,Lakshadweep,Coal,MW,0
2021-02-01,Puducherry,Coal,MW,0
2021-02-01,Tamil Nadu,Coal,MW,13160
2021-02-01,Telangana,Coal,MW,7302.5
2021-02-01,Arunachal Pradesh,Coal,MW,0
2021-02-01,Assam,Coal,MW,750
2021-02-01,Manipur,Coal,MW,0
2021-02-01,Meghalaya,Coal,MW,0
2021-02-01,Mizoram,Coal,MW,0
2021-02-01,Nagaland,Coal,MW,0
2021-02-01,Tripura,Coal,MW,0
2021-03-01,Chandigarh,Coal,MW,0
2021-03-01,Delhi,Coal,MW,0
2021-03-01,Haryana,Coal,MW,5330
2021-03-01,Himachal Pradesh,Coal,MW,0
2021-03-01,Jammu and Kashmir,Coal,MW,0
2021-03-01,Ladakh,Coal,MW,0
2021-03-01,Punjab,Coal,MW,5680
2021-03-01,Rajasthan,Coal,MW,9820
2021-03-01,Uttar Pradesh,Coal,MW,23729
2021-03-01,Uttarakhand,Coal,MW,0
2021-03-01,Andaman & Nicobar Islands,Coal,MW,0
2021-03-01,Bihar,Coal,MW,7050
2021-03-01,Jharkhand,Coal,MW,4460
2021-03-01,Odisha,Coal,MW,9800
2021-03-01,Sikkim,Coal,MW,0
2021-03-01,West Bengal,Coal,MW,14177
2021-03-01,Chhatisgarh,Coal,MW,23688
2021-03-01,Dadra & Nagar Haveli,Coal,MW,0
2021-03-01,Daman & Diu,Coal,MW,0
2021-03-01,Goa,Coal,MW,0
2021-03-01,Gujarat,Coal,MW,16092
2021-03-01,Madhya Pradesh,Coal,MW,21950
2021-03-01,Maharashtra,Coal,MW,24966
2021-03-01,Andhra Pradesh,Coal,MW,11590
2021-03-01,Karnataka,Coal,MW,9480
2021-03-01,Kerala,Coal,MW,0
2021-03-01,Lakshadweep,Coal,MW,0
2021-03-01,Puducherry,Coal,MW,0
2021-03-01,Tamil Nadu,Coal,MW,13160
2021-03-01,Telangana,Coal,MW,7572.5
2021-03-01,Arunachal Pradesh,Coal,MW,0
2021-03-01,Assam,Coal,MW,750
2021-03-01,Manipur,Coal,MW,0
2021-03-01,Meghalaya,Coal,MW,0
2021-03-01,Mizoram,Coal,MW,0
2021-03-01,Nagaland,Coal,MW,0
2021-03-01,Tripura,Coal,MW,0
2021-04-01,Chandigarh,Coal,MW,0
2021-04-01,Delhi,Coal,MW,0
2021-04-01,Haryana,Coal,MW,5330
2021-04-01,Himachal Pradesh,Coal,MW,0
2021-04-01,Jammu and Kashmir,Coal,MW,0
2021-04-01,Ladakh,Coal,MW,0
2021-04-01,Punjab,Coal,MW,5680
2021-04-01,Rajasthan,Coal,MW,9820
2021-04-01,Uttar Pradesh,Coal,MW,23729
2021-04-01,Uttarakhand,Coal,MW,0
2021-04-01,Andaman & Nicobar Islands,Coal,MW,0
2021-04-01,Bihar,Coal,MW,7050
2021-04-01,Jharkhand,Coal,MW,4460
2021-04-01,Odisha,Coal,MW,9800
2021-04-01,Sikkim,Coal,MW,0
2021-04-01,West Bengal,Coal,MW,14177
2021-04-01,Chhatisgarh,Coal,MW,23688
2021-04-01,Dadra & Nagar Haveli,Coal,MW,0
2021-04-01,Daman & Diu,Coal,MW,0
2021-04-01,Goa,Coal,MW,0
2021-04-01,Gujarat,Coal,MW,16092
2021-04-01,Madhya Pradesh,Coal,MW,21950
2021-04-01,Maharashtra,Coal,MW,24966
2021-04-01,Andhra Pradesh,Coal,MW,11590
2021-04-01,Karnataka,Coal,MW,9480
2021-04-01,Kerala,Coal,MW,0
2021-04-01,Lakshadweep,Coal,MW,0
2021-04-01,Puducherry,Coal,MW,0
2021-04-01,Tamil Nadu,Coal,MW,13160
2021-04-01,Telangana,Coal,MW,7572.5
2021-04-01,Arunachal Pradesh,Coal,MW,0
2021-04-01,Assam,Coal,MW,750
2021-04-01,Manipur,Coal,MW,0
2021-04-01,Meghalaya,Coal,MW,0
2021-04-01,Mizoram,Coal,MW,0
2021-04-01,Nagaland,Coal,MW,0
2021-04-01,Tripura,Coal,MW,0
2021-05-01,Chandigarh,Coal,MW,0
2021-05-01,Delhi,Coal,MW,0
2021-05-01,Haryana,Coal,MW,5330
2021-05-01,Himachal Pradesh,Coal,MW,0
2021-05-01,Jammu and Kashmir,Coal,MW,0
2021-05-01,Ladakh,Coal,MW,0
2021-05-01,Punjab,Coal,MW,5680
2021-05-01,Rajasthan,Coal,MW,9820
2021-05-01,Uttar Pradesh,Coal,MW,23729
2021-05-01,Uttarakhand,Coal,MW,0
2021-05-01,Andaman & Nicobar Islands,Coal,MW,0
2021-05-01,Bihar,Coal,MW,7050
2021-05-01,Jharkhand,Coal,MW,4460
2021-05-01,Odisha,Coal,MW,9800
2021-05-01,Sikkim,Coal,MW,0
2021-05-01,West Bengal,Coal,MW,14177
2021-05-01,Chhatisgarh,Coal,MW,23688
2021-05-01,Dadra & Nagar Haveli,Coal,MW,0
2021-05-01,Daman & Diu,Coal,MW,0
2021-05-01,Goa,Coal,MW,0
2021-05-01,Gujarat,Coal,MW,16092
2021-05-01,Madhya Pradesh,Coal,MW,21950
2021-05-01,Maharashtra,Coal,MW,24966
2021-05-01,Andhra Pradesh,Coal,MW,11590
2021-05-01,Karnataka,Coal,MW,9480
2021-05-01,Kerala,Coal,MW,0
2021-05-01,Lakshadweep,Coal,MW,0
2021-05-01,Puducherry,Coal,MW,0
2021-05-01,Tamil Nadu,Coal,MW,13160
2021-05-01,Telangana,Coal,MW,7572.5
2021-05-01,Arunachal Pradesh,Coal,MW,0
2021-05-01,Assam,Coal,MW,750
2021-05-01,Manipur,Coal,MW,0
2021-05-01,Meghalaya,Coal,MW,0
2021-05-01,Mizoram,Coal,MW,0
2021-05-01,Nagaland,Coal,MW,0
2021-05-01,Tripura,Coal,MW,0
2021-06-01,Chandigarh,Coal,MW,0
2021-06-01,Delhi,Coal,MW,0
2021-06-01,Haryana,Coal,MW,5330
2021-06-01,Himachal Pradesh,Coal,MW,0
2021-06-01,Jammu and Kashmir,Coal,MW,0
2021-06-01,Ladakh,Coal,MW,0
2021-06-01,Punjab,Coal,MW,5680
2021-06-01,Rajasthan,Coal,MW,9820
2021-06-01,Uttar Pradesh,Coal,MW,23729
2021-06-01,Uttarakhand,Coal,MW,0
2021-06-01,Andaman & Nicobar Islands,Coal,MW,0
2021-06-01,Bihar,Coal,MW,7050
2021-06-01,Jharkhand,Coal,MW,4250
2021-06-01,Odisha,Coal,MW,9340
2021-06-01,Sikkim,Coal,MW,0
2021-06-01,West Bengal,Coal,MW,14177
2021-06-01,Chhatisgarh,Coal,MW,23688
2021-06-01,Dadra & Nagar Haveli,Coal,MW,0
2021-06-01,Daman & Diu,Coal,MW,0
2021-06-01,Goa,Coal,MW,0
2021-06-01,Gujarat,Coal,MW,16092
2021-06-01,Madhya Pradesh,Coal,MW,21950
2021-06-01,Maharashtra,Coal,MW,24966
2021-06-01,Andhra Pradesh,Coal,MW,11590
2021-06-01,Karnataka,Coal,MW,9480
2021-06-01,Kerala,Coal,MW,0
2021-06-01,Lakshadweep,Coal,MW,0
2021-06-01,Puducherry,Coal,MW,0
2021-06-01,Tamil Nadu,Coal,MW,13160
2021-06-01,Telangana,Coal,MW,7572.5
2021-06-01,Arunachal Pradesh,Coal,MW,0
2021-06-01,Assam,Coal,MW,750
2021-06-01,Manipur,Coal,MW,0
2021-06-01,Meghalaya,Coal,MW,0
2021-06-01,Mizoram,Coal,MW,0
2021-06-01,Nagaland,Coal,MW,0
2021-06-01,Tripura,Coal,MW,0
2021-07-01,Chandigarh,Coal,MW,0
2021-07-01,Delhi,Coal,MW,0
2021-07-01,Haryana,Coal,MW,5330
2021-07-01,Himachal Pradesh,Coal,MW,0
2021-07-01,Jammu and Kashmir,Coal,MW,0
2021-07-01,Ladakh,Coal,MW,0
2021-07-01,Punjab,Coal,MW,5680
2021-07-01,Rajasthan,Coal,MW,9820
2021-07-01,Uttar Pradesh,Coal,MW,23729
2021-07-01,Uttarakhand,Coal,MW,0
2021-07-01,Andaman & Nicobar Islands,Coal,MW,0
2021-07-01,Bihar,Coal,MW,7050
2021-07-01,Jharkhand,Coal,MW,4250
2021-07-01,Odisha,Coal,MW,10140
2021-07-01,Sikkim,Coal,MW,0
2021-07-01,West Bengal,Coal,MW,14177
2021-07-01,Chhatisgarh,Coal,MW,23688
2021-07-01,Dadra & Nagar Haveli,Coal,MW,0
2021-07-01,Daman & Diu,Coal,MW,0
2021-07-01,Goa,Coal,MW,0
2021-07-01,Gujarat,Coal,MW,16092
2021-07-01,Madhya Pradesh,Coal,MW,21950
2021-07-01,Maharashtra,Coal,MW,24966
2021-07-01,Andhra Pradesh,Coal,MW,11590
2021-07-01,Karnataka,Coal,MW,9480
2021-07-01,Kerala,Coal,MW,0
2021-07-01,Lakshadweep,Coal,MW,0
2021-07-01,Puducherry,Coal,MW,0
2021-07-01,Tamil Nadu,Coal,MW,13160
2021-07-01,Telangana,Coal,MW,7572.5
2021-07-01,Arunachal Pradesh,Coal,MW,0
2021-07-01,Assam,Coal,MW,750
2021-07-01,Manipur,Coal,MW,0
2021-07-01,Meghalaya,Coal,MW,0
2021-07-01,Mizoram,Coal,MW,0
2021-07-01,Nagaland,Coal,MW,0
2021-07-01,Tripura,Coal,MW,0
2021-08-01,Chandigarh,Coal,MW,0
2021-08-01,Delhi,Coal,MW,0
2021-08-01,Haryana,Coal,MW,5330
2021-08-01,Himachal Pradesh,Coal,MW,0
2021-08-01,Jammu and Kashmir,Coal,MW,0
2021-08-01,Ladakh,Coal,MW,0
2021-08-01,Punjab,Coal,MW,5680
2021-08-01,Rajasthan,Coal,MW,9820
2021-08-01,Uttar Pradesh,Coal,MW,23729
2021-08-01,Uttarakhand,Coal,MW,0
2021-08-01,Andaman & Nicobar Islands,Coal,MW,0
2021-08-01,Bihar,Coal,MW,7050
2021-08-01,Jharkhand,Coal,MW,4250
2021-08-01,Odisha,Coal,MW,9540
2021-08-01,Sikkim,Coal,MW,0
2021-08-01,West Bengal,Coal,MW,14177
2021-08-01,Chhatisgarh,Coal,MW,23688
2021-08-01,Dadra & Nagar Haveli,Coal,MW,0
2021-08-01,Daman & Diu,Coal,MW,0
2021-08-01,Goa,Coal,MW,0
2021-08-01,Gujarat,Coal,MW,16092
2021-08-01,Madhya Pradesh,Coal,MW,21950
2021-08-01,Maharashtra,Coal,MW,24966
2021-08-01,Andhra Pradesh,Coal,MW,11590
2021-08-01,Karnataka,Coal,MW,9480
2021-08-01,Kerala,Coal,MW,0
2021-08-01,Lakshadweep,Coal,MW,0
2021-08-01,Puducherry,Coal,MW,0
2021-08-01,Tamil Nadu,Coal,MW,13160
2021-08-01,Telangana,Coal,MW,7572.5
2021-08-01,Arunachal Pradesh,Coal,MW,0
2021-08-01,Assam,Coal,MW,750
2021-08-01,Manipur,Coal,MW,0
2021-08-01,Meghalaya,Coal,MW,0
2021-08-01,Mizoram,Coal,MW,0
2021-08-01,Nagaland,Coal,MW,0
2021-08-01,Tripura,Coal,MW,0
2021-09-01,Chandigarh,Coal,MW,0
2021-09-01,Delhi,Coal,MW,0
